@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
104,'2020/05/04 09:22:57:617',1,104.48423,5.032213,108.303444,1,1,0.361113,0.971249
105,'2020/05/04 09:22:57:626',1,104.48423,5.032213,107.334709,1,1,0.361113,0.971249
106,'2020/05/04 09:22:57:627',1,104.48423,5.064183,107.334709,1,1,0.361113,0.971249
107,'2020/05/04 09:22:57:627',1,104.374374,5.064183,107.334709,1,1,0.361113,0.971249
108,'2020/05/04 09:22:57:635',1,104.374374,5.064183,107.82415,1,1,0.361113,0.971249
109,'2020/05/04 09:22:57:635',1,104.374374,4.83783,107.82415,1,1,0.361113,0.971249
110,'2020/05/04 09:22:57:635',1,104.366936,4.83783,107.82415,1,1,0.361113,0.971249
111,'2020/05/04 09:22:57:648',1,104.366936,4.83783,109.553543,1,1,0.361113,0.971249
112,'2020/05/04 09:22:57:648',1,104.366936,4.55294,109.553543,1,1,0.361113,0.971249
113,'2020/05/04 09:22:57:648',1,104.45578,4.55294,109.553543,1,1,0.361113,0.971249
114,'2020/05/04 09:22:57:659',1,104.45578,4.55294,108.76609,1,1,0.361113,0.971249
115,'2020/05/04 09:22:57:659',1,104.45578,4.472485,108.76609,1,1,0.361113,0.971249
116,'2020/05/04 09:22:57:659',1,104.515907,4.472485,108.76609,1,1,0.361113,0.971249
117,'2020/05/04 09:22:57:675',1,104.515907,4.472485,105.866081,1,1,0.361113,0.971249
118,'2020/05/04 09:22:57:676',1,104.515907,4.553713,105.866081,1,1,0.361113,0.971249
119,'2020/05/04 09:22:57:676',1,104.34948,4.553713,105.866081,1,1,0.361113,0.971249
120,'2020/05/04 09:22:57:685',1,104.34948,4.553713,103.383858,1,1,0.361113,0.971249
121,'2020/05/04 09:22:57:686',1,104.34948,4.407211,103.383858,1,1,0.361113,0.971249
122,'2020/05/04 09:22:57:687',1,104.126686,4.407211,103.383858,1,1,0.361113,0.971249
123,'2020/05/04 09:22:57:694',1,104.126686,4.407211,101.684845,1,1,0.361113,0.971249
124,'2020/05/04 09:22:57:694',1,104.126686,4.070113,101.684845,1,1,0.361113,0.971249
125,'2020/05/04 09:22:57:695',1,103.980591,4.070113,101.684845,1,1,0.361113,0.971249
126,'2020/05/04 09:22:57:705',1,103.980591,4.070113,102.048424,1,1,0.361113,0.971249
127,'2020/05/04 09:22:57:705',1,103.980591,3.967793,102.048424,1,1,0.361113,0.971249
128,'2020/05/04 09:22:57:705',1,103.862679,3.967793,102.048424,1,1,0.361113,0.971249
129,'2020/05/04 09:22:57:716',1,103.862679,3.967793,97.399307,1,1,0.361113,0.971249
130,'2020/05/04 09:22:57:716',1,103.862679,3.827082,97.399307,1,1,0.361113,0.971249
131,'2020/05/04 09:22:57:717',1,103.752029,3.827082,97.399307,1,1,0.361113,0.971249
132,'2020/05/04 09:22:57:727',1,103.752029,3.827082,98.013916,1,1,0.361113,0.971249
133,'2020/05/04 09:22:57:727',1,103.752029,3.791748,98.013916,1,1,0.361113,0.971249
134,'2020/05/04 09:22:57:727',1,103.881462,3.791748,98.013916,1,1,0.361113,0.971249
135,'2020/05/04 09:22:57:745',1,103.881462,3.791748,103.631348,1,1,0.361113,0.971249
136,'2020/05/04 09:22:57:746',1,103.881462,3.86511,103.631348,1,1,0.361113,0.971249
137,'2020/05/04 09:22:57:746',1,104.374214,3.86511,103.631348,1,1,0.361113,0.971249
138,'2020/05/04 09:22:57:746',1,104.374214,3.86511,102.697807,1,1,0.361113,0.971249
139,'2020/05/04 09:22:57:746',1,104.374214,3.989719,102.697807,1,1,0.361113,0.971249
140,'2020/05/04 09:22:57:746',1,104.374214,3.989719,102.697807,1,1,0.361113,0.971249
141,'2020/05/04 09:22:57:756',1,104.374214,3.989719,108.927361,1,1,0.361113,0.971249
142,'2020/05/04 09:22:57:757',1,104.374214,4.423201,108.927361,1,1,0.361113,0.971249
143,'2020/05/04 09:22:57:757',1,104.656952,4.423201,108.927361,1,1,0.361113,0.971249
144,'2020/05/04 09:22:57:767',1,104.656952,4.423201,113.088806,1,1,0.361113,0.971249
145,'2020/05/04 09:22:57:767',1,104.656952,4.746782,113.088806,1,1,0.361113,0.971249
146,'2020/05/04 09:22:57:767',1,104.965034,4.746782,113.088806,1,1,0.361113,0.971249
147,'2020/05/04 09:22:57:775',1,104.965034,4.746782,113.219261,1,1,0.361113,0.971249
148,'2020/05/04 09:22:57:776',1,104.965034,4.620506,113.219261,1,1,0.361113,0.971249
149,'2020/05/04 09:22:57:776',1,105.175613,4.620506,113.219261,1,1,0.361113,0.971249
150,'2020/05/04 09:22:57:787',1,105.175613,4.620506,115.389107,1,1,0.361113,0.971249
151,'2020/05/04 09:22:57:787',1,105.175613,4.480152,115.389107,1,1,0.361113,0.971249
152,'2020/05/04 09:22:57:787',1,105.230797,4.480152,115.389107,1,1,0.361113,0.971249
153,'2020/05/04 09:22:57:798',1,105.230797,4.480152,112.966873,1,1,0.361113,0.971249
154,'2020/05/04 09:22:57:798',1,105.230797,4.398118,112.966873,1,1,0.361113,0.971249
155,'2020/05/04 09:22:57:798',1,105.115143,4.398118,112.966873,1,1,0.361113,0.971249
156,'2020/05/04 09:22:57:815',1,105.115143,4.398118,105.465942,1,1,0.361113,0.971249
157,'2020/05/04 09:22:57:816',1,105.115143,4.202619,105.465942,1,1,0.361113,0.971249
158,'2020/05/04 09:22:57:816',1,104.583755,4.202619,105.465942,1,1,0.361113,0.971249
159,'2020/05/04 09:22:57:825',1,104.583755,4.202619,100.902458,1,1,0.361113,0.971249
160,'2020/05/04 09:22:57:826',1,104.583755,4.162133,100.902458,1,1,0.361113,0.971249
161,'2020/05/04 09:22:57:826',1,104.074844,4.162133,100.902458,1,1,0.361113,0.971249
162,'2020/05/04 09:22:57:835',1,104.074844,4.162133,99.467049,1,1,0.361113,0.971249
163,'2020/05/04 09:22:57:835',1,104.074844,3.879365,99.467049,1,1,0.361113,0.971249
164,'2020/05/04 09:22:57:835',1,103.926506,3.879365,99.467049,1,1,0.361113,0.971249
165,'2020/05/04 09:22:57:846',1,103.926506,3.879365,97.546509,1,1,0.361113,0.971249
166,'2020/05/04 09:22:57:847',1,103.926506,3.487739,97.546509,1,1,0.361113,0.971249
167,'2020/05/04 09:22:57:847',1,103.940643,3.487739,97.546509,1,1,0.361113,0.971249
168,'2020/05/04 09:22:57:855',1,103.940643,3.487739,95.515099,1,1,0.361113,0.971249
169,'2020/05/04 09:22:57:856',1,103.940643,3.390395,95.515099,1,1,0.361113,0.971249
170,'2020/05/04 09:22:57:856',1,103.827675,3.390395,95.515099,1,1,0.361113,0.971249
171,'2020/05/04 09:22:57:867',1,103.827675,3.390395,94.58918,1,1,0.361113,0.971249
172,'2020/05/04 09:22:57:867',1,103.827675,3.286004,94.58918,1,1,0.361113,0.971249
173,'2020/05/04 09:22:57:868',1,103.526756,3.286004,94.58918,1,1,0.361113,0.971249
174,'2020/05/04 09:22:57:879',1,103.526756,3.286004,91.171722,1,1,0.361113,0.971249
175,'2020/05/04 09:22:57:879',1,103.526756,3.186415,91.171722,1,1,0.361113,0.971249
176,'2020/05/04 09:22:57:879',1,103.14502,3.186415,91.171722,1,1,0.361113,0.971249
177,'2020/05/04 09:22:57:897',1,103.14502,3.186415,87.569237,1,1,0.361113,0.971249
178,'2020/05/04 09:22:57:897',1,103.14502,3.160723,87.569237,1,1,0.361113,0.971249
179,'2020/05/04 09:22:57:897',1,102.999596,3.160723,87.569237,1,1,0.361113,0.971249
180,'2020/05/04 09:22:57:905',1,102.999596,3.160723,86.387657,1,1,0.361113,0.971249
181,'2020/05/04 09:22:57:905',1,102.999596,3.045923,86.387657,1,1,0.361113,0.971249
182,'2020/05/04 09:22:57:906',1,103.370483,3.045923,86.387657,1,1,0.361113,0.971249
183,'2020/05/04 09:22:57:915',1,103.370483,3.045923,93.153198,1,1,0.361113,0.971249
184,'2020/05/04 09:22:57:915',1,103.370483,3.121078,93.153198,1,1,0.361113,0.971249
185,'2020/05/04 09:22:57:916',1,103.720474,3.121078,93.153198,1,1,0.361113,0.971249
186,'2020/05/04 09:22:57:925',1,103.720474,3.121078,95.769592,1,1,0.361113,0.971249
187,'2020/05/04 09:22:57:926',1,103.720474,3.509814,95.769592,1,1,0.361113,0.971249
188,'2020/05/04 09:22:57:926',1,103.971535,3.509814,95.769592,1,1,0.361113,0.971249
189,'2020/05/04 09:22:57:926',1,103.971535,3.509814,96.611542,1,1,0.361113,0.971249
190,'2020/05/04 09:22:57:926',1,103.971535,3.509814,96.611542,1,1,0.361113,0.971249
191,'2020/05/04 09:22:57:926',1,103.971535,3.509814,96.611542,1,1,0.361113,0.971249
192,'2020/05/04 09:22:57:938',1,103.971535,3.509814,99.868782,1,1,0.361113,0.971249
193,'2020/05/04 09:22:57:938',1,103.971535,3.791545,99.868782,1,1,0.361113,0.971249
194,'2020/05/04 09:22:57:938',1,104.079948,3.791545,99.868782,1,1,0.361113,0.971249
195,'2020/05/04 09:22:57:949',1,104.079948,3.791545,99.470131,1,1,0.361113,0.971249
196,'2020/05/04 09:22:57:949',1,104.079948,3.886722,99.470131,1,1,0.361113,0.971249
197,'2020/05/04 09:22:57:949',1,103.966904,3.886722,99.470131,1,1,0.361113,0.971249
198,'2020/05/04 09:22:57:966',1,103.966904,3.886722,100.08773,1,1,0.361113,0.971249
199,'2020/05/04 09:22:57:966',1,103.966904,3.824122,100.08773,1,1,0.361113,0.971249
200,'2020/05/04 09:22:57:968',1,103.878426,3.824122,100.08773,1,1,0.361113,0.971249
201,'2020/05/04 09:22:57:975',1,103.878426,3.824122,97.499939,1,1,0.361113,0.971249
202,'2020/05/04 09:22:57:976',1,103.878426,3.564542,97.499939,1,1,0.361113,0.971249
203,'2020/05/04 09:22:57:976',1,103.796005,3.564542,97.499939,1,1,0.361113,0.971249
204,'2020/05/04 09:22:57:985',1,103.796005,3.564542,98.739738,1,1,0.361113,0.971249
205,'2020/05/04 09:22:57:985',1,103.796005,3.546467,98.739738,1,1,0.361113,0.971249
206,'2020/05/04 09:22:57:985',1,103.656204,3.546467,98.739738,1,1,0.361113,0.971249
207,'2020/05/04 09:22:57:996',1,103.656204,3.546467,96.453667,1,1,0.361113,0.971249
208,'2020/05/04 09:22:57:996',1,103.656204,3.599466,96.453667,1,1,0.361113,0.971249
209,'2020/05/04 09:22:57:996',1,103.551788,3.599466,96.453667,1,1,0.361113,0.971249
210,'2020/05/04 09:22:58:006',1,103.551788,3.599466,94.494583,1,1,0.361113,0.971249
211,'2020/05/04 09:22:58:006',1,103.551788,3.644583,94.494583,1,1,0.361113,0.971249
212,'2020/05/04 09:22:58:007',1,103.643387,3.644583,94.494583,1,1,0.361113,0.971249
213,'2020/05/04 09:22:58:019',1,103.643387,3.644583,95.132828,1,1,0.361113,0.971249
214,'2020/05/04 09:22:58:019',1,103.643387,3.593098,95.132828,1,1,0.361113,0.971249
215,'2020/05/04 09:22:58:019',1,103.651115,3.593098,95.132828,1,1,0.361113,0.971249
216,'2020/05/04 09:22:58:037',1,103.651115,3.593098,91.555641,1,1,0.361113,0.971249
217,'2020/05/04 09:22:58:037',1,103.651115,3.554441,91.555641,1,1,0.361113,0.971249
218,'2020/05/04 09:22:58:037',1,103.704132,3.554441,91.555641,1,1,0.361113,0.971249
219,'2020/05/04 09:22:58:045',1,103.704132,3.554441,97.101761,1,1,0.361113,0.971249
220,'2020/05/04 09:22:58:045',1,103.704132,3.702876,97.101761,1,1,0.361113,0.971249
221,'2020/05/04 09:22:58:045',1,103.83567,3.702876,97.101761,1,1,0.361113,0.971249
222,'2020/05/04 09:22:58:055',1,103.83567,3.702876,100.017242,1,1,0.361113,0.971249
223,'2020/05/04 09:22:58:056',1,103.83567,3.786828,100.017242,1,1,0.361113,0.971249
224,'2020/05/04 09:22:58:056',1,104.03286,3.786828,100.017242,1,1,0.361113,0.971249
225,'2020/05/04 09:22:58:068',1,104.03286,3.786828,99.276573,1,1,0.361113,0.971249
